c,idnew,trtid4,geoid10
6,739,06037232200,"06037232200"
6,740,06037232300,"06037232300"
6,741,06037232400,"06037232400"
6,742,06037232500,"06037232500"
6,743,06037232600,"06037232600"
6,744,06037232700,"06037232700"
6,745,06037232800,"06037232800"
1,746,06037234000,"06037234000"
2,747,06037234200,"06037234200"
1,748,06037234300,"06037234300"
1,749,06037234501,"06037234501"
1,750,06037234502,"06037234502"
1,751,06037234600,"06037234600"
1,752,06037234700,"06037234700"
6,753,06037234800,"06037234800"
6,754,06037234901,"06037234901"
6,755,06037234902,"06037234902"
1,756,06037235100,"06037235100"
1,757,06037235201,"06037235201"
1,758,06037235202,"06037235202"
2,759,06037236000,"06037236000"
1,760,06037236100,"06037236100"
6,761,06037236202,"06037236202"
1,762,06037236203,"06037236203"
6,763,06037236204,"06037236204"
1,764,06037236400,"06037236400"
6,765,06037237101,"06037237101"
6,766,06037237102,"06037237102"
6,767,06037237201,"06037237201"
6,768,06037237202,"06037237202"
6,769,06037237300,"06037237300"
6,770,06037237401,"06037237401"
6,771,06037237402,"06037237402"
6,772,06037237500,"06037237500"
6,773,06037237600,"06037237600"
6,774,06037237710,"06037237710"
6,775,06037237720,"06037237720"
6,776,06037237800,"06037237800"
1,777,06037237900,"06037237900"
1,778,06037238000,"06037238000"
1,779,06037238100,"06037238100"
1,780,06037238200,"06037238200"
6,781,06037238310,"06037238310"
6,782,06037238320,"06037238320"
1,783,06037238400,"06037238400"
6,784,06037239201,"06037239201"
6,785,06037239202,"06037239202"
6,786,06037239310,"06037239310"
6,787,06037239320,"06037239320"
6,788,06037239330,"06037239330"
6,789,06037239501,"06037239501"
6,790,06037239502,"06037239502"
6,791,06037239601,"06037239601"
6,792,06037239602,"06037239602"
6,793,06037239701,"06037239701"
6,794,06037239702,"06037239702"
6,795,06037239801,"06037239801"
6,796,06037239802,"06037239802"
6,797,06037240010,"06037240010"
6,798,06037240020,"06037240020"
6,799,06037240200,"06037240200"
6,800,06037240300,"06037240300"
6,801,06037240401,"06037240401"
6,802,06037240402,"06037240402"
6,803,06037240500,"06037240500"
6,804,06037240600,"06037240600"
6,805,06037240700,"06037240700"
6,806,06037240800,"06037240800"
6,807,06037240900,"06037240900"
6,808,06037241001,"06037241001"
6,809,06037241002,"06037241002"
6,810,06037241110,"06037241110"
6,811,06037241120,"06037241120"
6,812,06037241201,"06037241201"
6,813,06037241202,"06037241202"
6,814,06037241300,"06037241300"
6,815,06037241400,"06037241400"
6,816,06037242000,"06037242000"
6,817,06037242100,"06037242100"
6,818,06037242200,"06037242200"
6,819,06037242300,"06037242300"
6,820,06037242600,"06037242600"
